      36,
       1,       2,       3,       4,       5,       6,       7,       8,       9,      10,      11,      12,      13,      14,      15,      16,      17,      18,      19,      20,      21,      22,      23,      24,      25,      26,      27,      28,      29,      30,      31,      32,      33,      34,      35,      36,
       0,   1.0000000000,   1.0000000000,   1.0000000000,   1.0000000000,   1.0000000000,   1.0000000000,   1.0000000000,   1.0000000000,   1.0000000000,   1.0000000000,   1.0000000000,   1.0000000000,   1.0000000000,   1.0000000000,   1.0000000000,   1.0000000000,   1.0000000000,   1.0000000000,   1.0000000000,   1.0000000000,   1.0000000000,   1.0000000000,   1.0000000000,   1.0000000000,   1.0000000000,   1.0000000000,   1.0000000000,   1.0000000000,   1.0000000000,   1.0000000000,   1.0000000000,   1.0000000000,   1.0000000000,   1.0000000000,   1.0000000000,   1.0000000000,
       0,   0.0000000000,   0.0000000000,   0.0000000000,   0.0000000000,   0.0000000000,   0.0000000000,   0.0000000000,   0.0000000000,   0.0000000000,   0.0000000000,   0.0000000000,   0.0000000000,   0.0000000000,   0.0000000000,   0.0000000000,   0.0000000000,   0.0000000000,   0.0000000000,   0.0000000000,   0.0000000000,   0.0000000000,   0.0000000000,   0.0000000000,   0.0000000000,   0.0000000000,   0.0000000000,   0.0000000000,   0.0000000000,   0.0000000000,   0.0000000000,   0.0000000000,   0.0000000000,   0.0000000000,   0.0000000000,   0.0000000000,   0.0000000000,
       1,   1.0000000000,   1.0891283577,   1.1281060446,   1.2161726067,   1.3343501317,   1.2832075174,   1.1717765641,   1.3089048533,   1.0046027843,   1.0047881308,   1.0677656784,   1.1644932074,   1.2098184928,   1.3090355114,   1.3343501317,   1.0677363164,   1.0678290420,   1.2259238212,   1.2975190915,   1.2630801160,   1.2119801733,   1.1025933969,   1.2257519127,   1.2576522308,   1.2798311856,   1.2098184928,   1.1468076673,   1.1644932074,   1.2975872871,   1.1678252675,   1.2573918878,   1.2008504615,   1.1940552656,   1.3088977363,   1.1805527721,   1.2574708312,
       1,   0.0000000000,  -0.4073714352,  -0.1731866875,  -0.6054401006,  -0.5519497520,  -0.4226297239,  -0.3108673580,  -0.5614823949,  -0.0957621918,  -0.0976637437,  -0.1876412273,  -0.2848610108,  -0.4170199308,  -0.5616320481,  -0.5519497520,  -0.1874081304,  -0.1874450410,  -0.3265217727,  -0.5165456738,  -0.5201599021,  -0.4187053944,  -0.0808768521,  -0.3262629809,  -0.4226086190,  -0.5710937567,  -0.4170199308,  -0.2949721710,  -0.2848610108,  -0.5169525785,  -0.2903758017,  -0.4219620579,  -0.4363792823,  -0.3985468224,  -0.5614413800,  -0.4120821154,  -0.4222438774,
       2,   1.0000000000,   1.0044871114,   1.0208656273,   1.0225471196,   1.0760836943,   1.0926475144,   1.0423982095,   1.0616669588,   1.0005028834,   1.0005033812,   1.0265760775,   1.0265918163,   1.0336063105,   1.0617059166,   1.0760836943,   1.0265911260,   1.0266240644,   1.0640970300,   1.0661294914,   1.0558121149,   1.0341072680,   1.0575653130,   1.0640266424,   1.0645299132,   1.0344527769,   1.0336063105,   1.0129357780,   1.0265918163,   1.0660616584,   1.0276230162,   1.0645007599,   1.0367400246,   1.0336489646,   1.0616820777,   1.0596877044,   1.0645026322,
       2,   0.0000000000,  -0.4482758114,  -0.2009759815,  -0.6862262637,  -0.6824669970,  -0.5249326568,  -0.3685043514,  -0.6833659476,  -0.1271351757,  -0.1290250410,  -0.2289368940,  -0.3284437821,  -0.4910998104,  -0.6835805603,  -0.6824669970,  -0.2286973293,  -0.2287522345,  -0.3924449917,  -0.6289879447,  -0.6234326648,  -0.4935225721,  -0.0929415597,  -0.3921052614,  -0.5113912292,  -0.6822627060,  -0.4910998104,  -0.3352861541,  -0.3284437821,  -0.6294576009,  -0.3356932298,  -0.5105901565,  -0.5132683051,  -0.4684644628,  -0.6833179182,  -0.4856838112,  -0.5109328622,
       3,   1.0000000000,   1.0008190732,   0.9910886636,   1.0011882935,   1.0035703891,   1.0399275244,   1.0095522690,   0.9987131397,   1.0006203835,   1.0006205386,   1.0190397724,   0.9906612112,   0.9899453322,   0.9987226613,   1.0035703891,   1.0190569746,   1.0190703952,   1.0213399155,   1.0066028316,   1.0073823265,   0.9898811510,   1.0465428312,   1.0212955437,   1.0143982918,   0.9738110706,   0.9899453322,   0.9787832603,   0.9906612112,   1.0065112988,   0.9910448659,   1.0144206895,   1.0001081283,   0.9950492026,   0.9987353453,   1.0407196207,   1.0144097319,
       3,   0.0000000000,  -0.4884876971,  -0.2134140072,  -0.7295562434,  -0.7367261928,  -0.5684676074,  -0.3996317200,  -0.7359983651,  -0.1623470100,  -0.1642412668,  -0.2640414675,  -0.3484768185,  -0.5270655424,  -0.7362359442,  -0.7367261928,  -0.2638003479,  -0.2638550138,  -0.4200235945,  -0.6774091416,  -0.6710004932,  -0.5295889978,  -0.0971106411,  -0.4196495130,  -0.5501997322,  -0.7308631998,  -0.5270655424,  -0.3552906473,  -0.3484768185,  -0.6779068925,  -0.3564241849,  -0.5493299246,  -0.5533333702,  -0.5045855661,  -0.7359483555,  -0.5288171424,  -0.5497047089,
       4,   1.0000000000,   1.0000235493,   0.9877194604,   1.0000275791,   0.9952770134,   1.0337524397,   1.0058188434,   0.9919051618,   1.0000161420,   1.0000161485,   1.0177531981,   0.9866897078,   0.9852110677,   0.9919115525,   0.9952770134,   1.0177704732,   1.0177819886,   1.0166286000,   1.0001323362,   1.0021315701,   0.9850855657,   1.0453346430,   1.0165870545,   1.0088987531,   0.9674786251,   0.9852110677,   0.9750024626,   0.9866897078,   1.0000391987,   0.9870036317,   1.0089263498,   0.9960633123,   0.9908237922,   0.9919280270,   1.0383329232,   1.0089142220,
       4,   0.0000000000,  -0.4953014613,  -0.2148767768,  -0.7368874561,  -0.7422819987,  -0.5729776959,  -0.4037893394,  -0.7419866281,  -0.1679949286,  -0.1698903167,  -0.2694955738,  -0.3509243729,  -0.5315810399,  -0.7422258950,  -0.7422819987,  -0.2692542159,  -0.2693082894,  -0.4232067523,  -0.6829269875,  -0.6768754810,  -0.5340946752,  -0.0976110328,  -0.4228288292,  -0.5547222915,  -0.7365805173,  -0.5315810399,  -0.3578209618,  -0.3509243729,  -0.6834283742,  -0.3589456936,  -0.5538446176,  -0.5586806919,  -0.5093081894,  -0.7419365874,  -0.5351209296,  -0.5542235333,
       5,   1.0000000000,   1.0000000049,   0.9876757474,   1.0000000069,   0.9951737353,   1.0336745138,   1.0057693624,   0.9918200406,   1.0000000032,   1.0000000032,   1.0177295481,   0.9866382409,   0.9851501676,   0.9918264000,   0.9951737353,   1.0177468246,   1.0177583195,   1.0165684989,   1.0000511943,   1.0020636643,   0.9850239700,   1.0453189791,   1.0165269873,   1.0088290811,   0.9673998061,   0.9851501676,   0.9749530450,   0.9866382409,   0.9999580395,   0.9869513490,   1.0088567399,   0.9960086063,   0.9907683606,   0.9918429118,   1.0382936008,   1.0088445976,
       5,   0.0000000000,  -0.4953971209,  -0.2148946464,  -0.7370020499,  -0.7423429795,  -0.5730252011,  -0.4038442266,  -0.7420602159,  -0.1680731864,  -0.1699685883,  -0.2695707797,  -0.3509555275,  -0.5316394824,  -0.7422994970,  -0.7423429795,  -0.2693294183,  -0.2693834817,  -0.4232464003,  -0.6829949511,  -0.6769509545,  -0.5341528632,  -0.0976173746,  -0.4228684303,  -0.5547786707,  -0.7366537008,  -0.5316394824,  -0.3578535695,  -0.3509555275,  -0.6834963904,  -0.3589777349,  -0.5539008997,  -0.5587514459,  -0.5093702627,  -0.7420101755,  -0.5352065915,  -0.5542798692,
