      36,
       1,       2,       3,       4,       5,       6,       7,       8,       9,      10,      11,      12,      13,      14,      15,      16,      17,      18,      19,      20,      21,      22,      23,      24,      25,      26,      27,      28,      29,      30,      31,      32,      33,      34,      35,      36,
       0,   0.0000000000,   0.0000000000,   0.0000000000,   0.0000000000,   0.0000000000,   0.0000000000,   0.0000000000,   0.0000000000,   0.0000000000,   0.0000000000,   0.0000000000,   0.0000000000,   0.0000000000,   0.0000000000,   0.0000000000,   0.0000000000,   0.0000000000,   0.0000000000,   0.0000000000,   0.0000000000,   0.0000000000,   0.0000000000,   0.0000000000,   0.0000000000,   0.0000000000,   0.0000000000,   0.0000005000,   0.0000000000,   0.0000000000,   0.0000000000,   0.0000000000,   0.0000005000,   0.0000000000,   0.0000000000,   0.0000000000,   0.0000000000,
       0,   4.6511627907,   5.6264066017,   3.2150894867,   0.0000000000,   0.0000000000,   1.8604651163,   0.3810975610,   0.0000000000,   0.7436049970,   0.5568548836,   0.0000000000,   0.0000000000,   0.0000000000,   0.0000000000,  -1.7306652244,  -0.7254682898,  -0.6242730572,  -0.5132064225,  -1.3950000000,  -0.5361000000,   0.0000000000,  -4.3266630611,  -1.3219644392,  -0.0285064225,  28.7291899209,   1.3550135501,  -0.1652995000,   1.3550135501,  -2.3795359905,  -3.1861809178,  -0.5132064225,  -0.3837995000,  -0.6415024985, -27.1869927270,  -6.1151666062,  -1.3219644392,
       1,   5.5241611856,   0.4543770015,   6.6031682496,  -1.5860363178,   0.0000000000,   5.4774898448,   1.8676981496,   2.5641629310,   2.9198853408,   2.1427944700,  -2.6575197051,   0.0000000000,   0.0000000000,  -5.8310588193,  -4.8841996845,   0.1584748105,   0.1364284308,   0.2668414596,   1.1232053383,  -0.6844227276,   0.0000000000,   0.4617088480,   0.6866697479,   0.0190272136, -22.9255819264,  -0.8049335567,  -3.5634392067,  -0.5476924584,   1.9167773805,  -3.6273859387,   0.3420376972,  -0.7863914298,  -0.9005726134,  15.8940870691,   0.1148720934,   0.8815609712,
       1,  -1.4877081816,  -0.7947196455,   2.5581493163,  -2.2700840771,   0.0000000000,   1.7902045621,   0.2072496825,  -1.7099977984,  -1.0021421648,  -0.7524526558,   0.3138273300,   0.0000000000,   0.0000000000,   3.5143888424,  -0.0704748523,   0.0086122461,   0.0074544375,   0.0166799625,  -0.3710308501,  -0.2230011894,   0.0000000000,   0.4363588762,   0.0432284892,  -0.0027778698,  11.3763584034,   0.1662863639,  -0.6239726431,  -0.0329180593,  -0.6349955928,  -1.1478323778,  -0.0494981331,  -0.2508522290,  -0.3949651780,  -9.0143930707,  -1.5837035069,  -0.1281113623,
       2,   6.0868416232,   2.9864504146,   6.0400838027,  -0.1244079531,   0.0000000000,   4.5757662588,   1.6391025828,   2.4190674685,   3.0974419129,   2.2778520012,  -2.5247094439,   0.0000000000,   0.0000000000,  -5.3795534030,  -4.5011846972,   0.0059259558,   0.0051068793,   0.0311178203,   0.1995014875,  -0.7269174380,   0.0000000000,   0.0135405195,   0.0800254491,   0.0027670914,  -4.4257874916,  -0.1121168175,  -2.9410709748,  -0.0573727697,   0.3407014185,  -3.7500628176,   0.0496723260,  -0.7213989596,  -0.8781838013,  -1.0614457259,  -2.0452553642,   0.1280951273,
       2,   1.3642849676,   1.5732163604,   3.4624081021,  -0.3610025769,   0.0000000000,   3.0312898431,   0.6351164511,  -0.4133433517,   0.1254157308,   0.0889816919,  -0.1541816490,   0.0000000000,   0.0000000000,   0.6673658840,  -1.6270069484,   0.0061334925,   0.0052835094,   0.0131609549,   0.0067962334,  -0.4041531778,   0.0000000000,   0.0220844687,   0.0338736142,   0.0005968271,   0.6422160593,  -0.0142001619,  -1.3312260702,  -0.0195251255,   0.0112777637,  -2.0262860062,   0.0107763917,  -0.4527663300,  -0.6070015818,  -1.9043437346,  -1.5128636365,   0.0277160917,
       3,   6.2927617562,   3.1503853667,   6.0009941497,   0.0378112937,   0.0000000000,   4.3354807346,   1.6042434553,   2.3697027809,   3.0717875097,   2.2587929193,  -2.5039303985,   0.0000000000,   0.0000000000,  -5.2382838754,  -4.3443645974,  -0.0001563501,  -0.0001345580,   0.0009122761,   0.0108544110,  -0.7241562475,   0.0000000000,   0.0000507885,   0.0023445804,   0.0001097968,  -0.2836950691,  -0.0042853076,  -2.8739744509,  -0.0016186618,   0.0185588014,  -3.7629095236,   0.0019669939,  -0.7039976013,  -0.8678483114,  -4.7910571977,  -2.2737219068,   0.0050760431,
       3,   2.0705730737,   2.7034214051,   3.5897385468,   0.8133705585,   0.0000000000,   3.3154948584,   0.6958713266,  -0.0948116892,   0.3517614066,   0.2589320094,  -0.1749952901,   0.0000000000,   0.0000000000,  -0.0308900178,  -2.1359397879,   0.0002589881,   0.0002232570,   0.0012780242,   0.0084580326,  -0.4679243192,   0.0000000000,   0.0002830360,   0.0032847335,   0.0001205075,  -0.1408119196,  -0.0041295960,  -1.4327964896,  -0.0017012572,   0.0144330661,  -2.1960683824,   0.0021629713,  -0.4971940361,  -0.6579446743,  -2.0724250128,  -1.6762804807,   0.0055781574,
       4,   6.3177822814,   3.1009687124,   5.9999972895,  -0.0088120135,   0.0000000000,   4.3004314898,   1.6000596840,   2.3541042675,   3.0602125496,   2.2501581440,  -2.5000805566,   0.0000000000,   0.0000000000,  -5.2006159072,  -4.3007492419,  -0.0000016112,  -0.0000013887,   0.0000001905,   0.0000240402,  -0.7190960055,   0.0000000000,  -0.0000000826,   0.0000004955,   0.0000000592,  -0.0010571013,  -0.0000021454,  -2.8700367505,  -0.0000023636,   0.0000412476,  -3.7600529328,   0.0000010486,  -0.7000610327,  -0.8640652609,  -5.0000397953,  -2.2652330057,   0.0000027058,
       4,   2.1482997451,   2.8144300190,   3.5998731744,   0.9658723235,   0.0000000000,   3.3397314211,   0.6999553890,  -0.0631084995,   0.3706020976,   0.2730919864,  -0.1755166200,   0.0000000000,   0.0000000000,  -0.0993286922,  -2.1992361588,  -0.0000005114,  -0.0000004391,   0.0000087512,   0.0001131405,  -0.4739572843,   0.0000000000,   0.0000003518,   0.0000224744,   0.0000011419,  -0.0025069186,  -0.0000388527,  -1.4399138488,  -0.0000107223,   0.0001933615,  -2.2098506032,   0.0000204534,  -0.4999853798,  -0.6619687038,  -2.2967892253,  -1.6900142997,   0.0000527901,
